Mês;Ano;Instalação Portuária;Nome do Berço;Terminal;Mercadoria-Capítulo (SH2);Quantidade de Conteiner (u);Quantidade TEU;Somatório Peso Bruto Conteiner (t);Somatório Carga Geral Solta (t);Somatório Granel Sólido (t);Somatório Granel Líquido (t);Somatório de Carga Bruta (t)
2;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;9.471,00;9.471,00
2;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;74.101,00;74.101,00
2;2018;Suape;Pier de Granéis Líquidos 1 - Berço Leste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;25.243,00;25.243,00
2;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Bebidas, líquidos alcoólicos e vinagres;0;0;0;0;0;30.073,00;30.073,00
2;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;71.663,00;71.663,00
2;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;8.853,00;8.853,00
2;2018;Suape;Pier de Granéis Líquidos 2 - Berço Leste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;119.109,00;119.109,00
2;2018;Suape;Pier de Granéis Líquidos 2 - Berço Oeste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;312.148,00;312.148,00
2;2018;Suape;Pier de Granéis Líquidos 3 - A;Píer de Graneis Líquidos 3A;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;478.978,00;478.978,00
2;2018;Suape;Pier de Granéis Líquidos 3 - B;Píer de Graneis Líquidos 3B;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;210.690,00;210.690,00
2;2018;Suape;Porto Interno - Berço 01;Cais 1;Contêineres;987;1.766,00;14.560,00;0;0;0;14.560,00
2;2018;Suape;Porto Interno - Berço 02 - TECON;Tecon Suape;Contêineres;17.374,00;28.255,00;308.443,00;0;0;0;308.443,00
2;2018;Suape;Porto Interno - Berço 03 - TECON;Tecon Suape;Contêineres;1.763,00;3.001,00;26.843,00;0;0;0;26.843,00
2;2018;Suape;Porto Interno - Berço 04;Cais 4;Cereais;0;0;0;0;27.214,00;0;27.214,00
2;2018;Suape;Porto Interno - Berço 04;Cais 4;Obras de ferro fundido, ferro ou aço;0;0;0;2.906,00;0;0;2.906,00
2;2018;Suape;Porto Interno - Berço 04;Cais 4;Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes;0;0;0;73;0;0;73
2;2018;Suape;Porto Interno - Berço 04;Cais 4;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;3.147,00;0;0;3.147,00
2;2018;Suape;Porto Interno - Berço 05;Cais 5;Minerios, escórias e cinzas;0;0;0;0;56.231,00;0;56.231,00
2;2018;Suape;Porto Interno - Berço 05;Cais 5;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;7.586,00;0;0;7.586,00
3;2018;Suape;Cais de Múltiplos Usos - Berço - Leste;Cais de Múltiplos Usos - CMU;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;50.151,00;50.151,00
